1	3	1 1 10
2	3	1 2 9
3	6	1 1 1 1 1 7
4	4	1 1 3 7
5	7	1 1 1 1 1 2 5
6	4	1 1 1 9
7	2	1 11
8	1	12
9	8	1 1 1 1 1 1 1 5
10	8	1 1 1 1 1 1 2 4
11	2	1 11
12	8	1 1 1 1 1 1 1 5
13	9	1 1 1 1 1 1 1 1 4
14	4	1 1 1 9
15	2	1 11
16	8	1 1 1 1 1 1 2 4
17	8	1 1 1 1 1 1 3 3
18	9	1 1 1 1 1 1 1 1 4
19	2	10 2
20	4	1 1 2 8
21	6	1 1 1 1 2 6
22	3	1 1 10
23	2	10 2
24	2	1 11
25	3	1 2 9
26	5	1 1 1 4 5
27	2	1 11
28	2	1 11
29	9	1 1 1 1 1 1 1 2 3
30	9	1 1 1 1 1 1 1 1 4
31	10	1 1 1 1 1 1 1 1 1 3
32	10	1 1 1 1 1 1 1 1 1 3
33	3	2 3 7
34	3	1 1 10
35	1	12
36	8	1 1 1 1 1 1 1 5
37	10	1 1 1 1 1 1 1 1 1 3
38	4	1 1 1 9
39	11	1 1 1 1 1 1 1 1 1 1 2
40	9	1 1 1 1 1 1 1 1 4
41	8	1 1 1 1 1 1 1 5
42	8	1 1 1 1 1 1 1 5
43	7	1 1 1 1 1 2 5
44	7	1 1 1 1 1 1 6
45	8	1 1 1 1 1 1 1 5
46	4	1 1 2 8
47	9	1 1 1 1 1 1 1 1 4
48	3	1 2 9
49	10	1 1 1 1 1 1 1 1 1 3
50	7	1 1 1 1 1 3 4
51	2	1 11
52	5	1 1 2 2 6
53	9	1 1 1 1 1 1 1 2 3
54	10	1 1 1 1 1 1 1 1 1 3
55	7	1 1 1 1 1 2 5
56	8	1 1 1 1 1 1 1 5
57	8	1 1 1 1 1 2 2 3
58	10	1 1 1 1 1 1 1 1 1 3
59	8	1 1 1 1 1 1 1 5
60	9	1 1 1 1 1 1 1 1 4
61	1	12
62	6	1 1 1 1 1 7
63	8	1 1 1 1 1 1 1 5
64	9	1 1 1 1 1 1 1 1 4
65	8	1 1 1 1 1 2 2 3
66	9	1 1 1 1 1 1 2 2 2
67	9	1 1 1 1 1 1 1 1 4
68	3	1 1 10
69	6	1 1 1 1 1 7
70	5	1 1 1 3 6
